countries,commodity_name,currency_name,mp_price,population,year,hdi
Afghanistan,Bread - Retail,AFN,17.21375,19542982.0,2000,0.335
Afghanistan,Bread - Retail,AFN,16.522666666666666,19688632.0,2001,0.337
Afghanistan,Bread - Retail,AFN,11.587872340425532,21000256.0,2002,0.362
Afghanistan,Bread - Retail,AFN,13.016666666666666,22645130.0,2003,0.376
Afghanistan,Bread - Retail,AFN,15.622916666666667,23553551.0,2004,0.392
Afghanistan,Bread - Retail,AFN,18.770833333333332,24411191.0,2005,0.4
Afghanistan,Bread - Retail,AFN,20.022916666666667,25442944.0,2006,0.409
Afghanistan,Bread - Retail,AFN,23.931250000000002,25903301.0,2007,0.424
Afghanistan,Bread - Retail,AFN,46.17729166666667,26427199.0,2008,0.43
Afghanistan,Bread - Retail,AFN,40.397708333333334,27385307.0,2009,0.44
Afghanistan,Bread - Retail,AFN,32.23854166666667,28189672.0,2010,0.448
Afghanistan,Bread - Retail,AFN,35.01,29249157.0,2011,0.456
Afghanistan,Bread - Retail,AFN,35.51541666666667,30466479.0,2012,0.466
Afghanistan,Bread - Retail,AFN,35.469375,31541209.0,2013,0.474
Afghanistan,Bread - Retail,AFN,42.840260416666666,32716210.0,2014,0.479
Afghanistan,Bread - Retail,AFN,44.385625,33753499.0,2015,0.478
Afghanistan,Bread - Retail,AFN,44.7025,34636207.0,2016,0.481
Afghanistan,Bread - Retail,AFN,44.453541666666666,35643418.0,2017,0.482
Afghanistan,Bread - Retail,AFN,44.288645833333334,36686784.0,2018,0.483
Afghanistan,Bread - Retail,AFN,44.50692708333333,37769499.0,2019,0.488
Afghanistan,Bread - Retail,AFN,50.88217401315789,38972230.0,2020,0.483
Afghanistan,Oil (cooking) - Retail,AFN,102.24613823529411,38972230.0,2020,0.483
Afghanistan,Pulses - Retail,AFN,92.84295330882352,38972230.0,2020,0.483
Afghanistan,Rice (high quality) - Retail,AFN,87.35355404411766,38972230.0,2020,0.483
Afghanistan,Rice (low quality) - Retail,AFN,27.249532710280373,25903301.0,2007,0.424
Afghanistan,Rice (low quality) - Retail,AFN,40.33639423076923,26427199.0,2008,0.43
Afghanistan,Rice (low quality) - Retail,AFN,34.72033148148148,27385307.0,2009,0.44
Afghanistan,Rice (low quality) - Retail,AFN,31.72601308411215,28189672.0,2010,0.448
Afghanistan,Rice (low quality) - Retail,AFN,32.85533707865169,29249157.0,2011,0.456
Afghanistan,Rice (low quality) - Retail,AFN,38.04635416666667,30466479.0,2012,0.466
Afghanistan,Rice (low quality) - Retail,AFN,46.96,31541209.0,2013,0.474
Afghanistan,Rice (low quality) - Retail,AFN,43.06666666666666,32716210.0,2014,0.479
Afghanistan,Rice (low quality) - Retail,AFN,39.621874999999996,33753499.0,2015,0.478
Afghanistan,Rice (low quality) - Retail,AFN,41.435227272727275,34636207.0,2016,0.481
Afghanistan,Rice (low quality) - Retail,AFN,44.235677083333336,35643418.0,2017,0.482
Afghanistan,Rice (low quality) - Retail,AFN,46.09270833333333,36686784.0,2018,0.483
Afghanistan,Rice (low quality) - Retail,AFN,45.873697916666664,37769499.0,2019,0.488
Afghanistan,Rice (low quality) - Retail,AFN,48.948244407894734,38972230.0,2020,0.483
Afghanistan,Salt - Retail,AFN,12.45526911764706,38972230.0,2020,0.483
Afghanistan,Sugar - Retail,AFN,49.90723125,38972230.0,2020,0.483
Afghanistan,Wheat - Retail,AFN,12.116458333333334,19542982.0,2000,0.335
Afghanistan,Wheat - Retail,AFN,10.286,19688632.0,2001,0.337
Afghanistan,Wheat - Retail,AFN,5.923125,21000256.0,2002,0.362
Afghanistan,Wheat - Retail,AFN,7.089340277777778,22645130.0,2003,0.376
Afghanistan,Wheat - Retail,AFN,9.06158021978022,23553551.0,2004,0.392
Afghanistan,Wheat - Retail,AFN,11.0809375,24411191.0,2005,0.4
Afghanistan,Wheat - Retail,AFN,11.978384375,25442944.0,2006,0.409
Afghanistan,Wheat - Retail,AFN,14.163317757009345,25903301.0,2007,0.424
Afghanistan,Wheat - Retail,AFN,28.158587962962965,26427199.0,2008,0.43
Afghanistan,Wheat - Retail,AFN,18.749808333333334,27385307.0,2009,0.44
Afghanistan,Wheat - Retail,AFN,14.791939252336448,28189672.0,2010,0.448
Afghanistan,Wheat - Retail,AFN,19.572837078651688,29249157.0,2011,0.456
Afghanistan,Wheat - Retail,AFN,19.562620833333334,30466479.0,2012,0.466
Afghanistan,Wheat - Retail,AFN,21.76633152173913,31541209.0,2013,0.474
Afghanistan,Wheat - Retail,AFN,24.2775,32716210.0,2014,0.479
Afghanistan,Wheat - Retail,AFN,23.417708333333334,33753499.0,2015,0.478
Afghanistan,Wheat - Retail,AFN,23.992414772727273,34636207.0,2016,0.481
Afghanistan,Wheat - Retail,AFN,23.530989583333334,35643418.0,2017,0.482
Afghanistan,Wheat - Retail,AFN,23.26609375,36686784.0,2018,0.483
Afghanistan,Wheat - Retail,AFN,24.554427083333334,37769499.0,2019,0.488
Afghanistan,Wheat - Retail,AFN,29.133744407894735,38972230.0,2020,0.483
Afghanistan,Wheat flour (high quality) - Retail,AFN,35.59056507352941,38972230.0,2020,0.483
Afghanistan,Wheat flour (low quality) - Retail,AFN,32.17873786764706,38972230.0,2020,0.483
Afghanistan,Wheat flour - Retail,AFN,14.202916666666667,19542982.0,2000,0.335
Afghanistan,Wheat flour - Retail,AFN,11.76088888888889,19688632.0,2001,0.337
Afghanistan,Wheat flour - Retail,AFN,7.380624999999999,21000256.0,2002,0.362
Afghanistan,Wheat flour - Retail,AFN,9.660416666666666,22645130.0,2003,0.376
Afghanistan,Wheat flour - Retail,AFN,11.891666666666666,23553551.0,2004,0.392
Afghanistan,Wheat flour - Retail,AFN,13.647916666666667,24411191.0,2005,0.4
Afghanistan,Wheat flour - Retail,AFN,13.4,25442944.0,2006,0.409
Afghanistan,Wheat flour - Retail,AFN,15.254166666666668,25903301.0,2007,0.424
Afghanistan,Wheat flour - Retail,AFN,33.29770833333333,26427199.0,2008,0.43
Afghanistan,Wheat flour - Retail,AFN,22.444166666666664,27385307.0,2009,0.44
Afghanistan,Wheat flour - Retail,AFN,19.806250000000002,28189672.0,2010,0.448
Afghanistan,Wheat flour - Retail,AFN,23.70958333333333,29249157.0,2011,0.456
Afghanistan,Wheat flour - Retail,AFN,23.757916666666663,30466479.0,2012,0.466
Afghanistan,Wheat flour - Retail,AFN,27.380625,31541209.0,2013,0.474
Afghanistan,Wheat flour - Retail,AFN,28.276666666666667,32716210.0,2014,0.479
Afghanistan,Wheat flour - Retail,AFN,27.23875,33753499.0,2015,0.478
Afghanistan,Wheat flour - Retail,AFN,27.249583333333334,34636207.0,2016,0.481
Afghanistan,Wheat flour - Retail,AFN,26.612083333333334,35643418.0,2017,0.482
Afghanistan,Wheat flour - Retail,AFN,26.022499999999997,36686784.0,2018,0.483
Afghanistan,Wheat flour - Retail,AFN,28.725416666666664,37769499.0,2019,0.488
Algeria,Apples - Retail,DZD,254.08333333333334,39543154.0,2015,0.74
Algeria,Apples - Retail,DZD,371.02272727272725,40339329.0,2016,0.743
Algeria,Bananas - Retail,DZD,225.61111111111111,39543154.0,2015,0.74
Algeria,Bananas - Retail,DZD,290.0,40339329.0,2016,0.743
Algeria,Beans (white) - Retail,DZD,207.38888888888889,39543154.0,2015,0.74
Algeria,Beans (white) - Retail,DZD,208.29545454545453,40339329.0,2016,0.743
Algeria,Carrots - Retail,DZD,98.05555555555556,39543154.0,2015,0.74
Algeria,Carrots - Retail,DZD,95.36363636363636,40339329.0,2016,0.743
Algeria,Lentils - Retail,DZD,191.40277777777777,39543154.0,2015,0.74
Algeria,Lentils - Retail,DZD,215.0,40339329.0,2016,0.743
Algeria,Meat (beef) - Retail,DZD,1200.0,39543154.0,2015,0.74
Algeria,Meat (camel) - Retail,DZD,614.8148148148148,39543154.0,2015,0.74
Algeria,Meat (camel) - Retail,DZD,669.4594594594595,40339329.0,2016,0.743
Algeria,Meat (chicken) - Retail,DZD,348.1666666666667,39543154.0,2015,0.74
Algeria,Meat (chicken) - Retail,DZD,338.95454545454544,40339329.0,2016,0.743
Algeria,Onions - Retail,DZD,89.69444444444444,39543154.0,2015,0.74
Algeria,Onions - Retail,DZD,81.9090909090909,40339329.0,2016,0.743
Algeria,Oranges - Retail,DZD,220.875,39543154.0,2015,0.74
Algeria,Potatoes - Retail,DZD,78.5,39543154.0,2015,0.74
Algeria,Potatoes - Retail,DZD,68.63636363636364,40339329.0,2016,0.743
Algeria,Rice - Retail,DZD,90.69444444444444,39543154.0,2015,0.74
Algeria,Rice - Retail,DZD,106.25,40339329.0,2016,0.743
Algeria,Sugar - Retail,DZD,95.05555555555556,39543154.0,2015,0.74
Algeria,Sugar - Retail,DZD,97.4090909090909,40339329.0,2016,0.743
Algeria,Tea - Retail,DZD,552.3333333333334,39543154.0,2015,0.74
Algeria,Tea - Retail,DZD,418.57142857142856,40339329.0,2016,0.743
Algeria,Tomatoes - Retail,DZD,97.84722222222223,39543154.0,2015,0.74
Algeria,Tomatoes - Retail,DZD,84.18181818181819,40339329.0,2016,0.743
Cambodia,"Beans (yardlong, green) - Retail",KHR,4072.323529411765,16207746.0,2019,0.598
Cambodia,"Beans (yardlong, green) - Retail",KHR,4285.6918863492065,16396860.0,2020,0.596
Cambodia,"Beans (yardlong, green) - Wholesale",KHR,3516.6323529411766,16207746.0,2019,0.598
Cambodia,"Beans (yardlong, green) - Wholesale",KHR,3633.548006666667,16396860.0,2020,0.596
Cambodia,"Cabbage (chinese, flowering) - Retail",KHR,3254.9666666666667,16207746.0,2019,0.598
Cambodia,"Cabbage (chinese, flowering) - Retail",KHR,3410.0554825242716,16396860.0,2020,0.596
Cambodia,"Cabbage (chinese, flowering) - Wholesale",KHR,2639.4666666666667,16207746.0,2019,0.598
Cambodia,"Cabbage (chinese, flowering) - Wholesale",KHR,2833.8203165048544,16396860.0,2020,0.596
Cambodia,Eggplants - Retail,KHR,2951.8571428571427,16207746.0,2019,0.598
Cambodia,Eggplants - Retail,KHR,2815.6932183946487,16396860.0,2020,0.596
Cambodia,Eggplants - Wholesale,KHR,2443.557142857143,16207746.0,2019,0.598
Cambodia,Eggplants - Wholesale,KHR,2328.2478451505017,16396860.0,2020,0.596
Cambodia,Fish (catfish) - Retail,KHR,8840.763888888889,16207746.0,2019,0.598
Cambodia,Fish (catfish) - Retail,KHR,7937.64021078067,16396860.0,2020,0.596
Cambodia,Fish (catfish) - Wholesale,KHR,8272.694444444445,16207746.0,2019,0.598
Cambodia,Fish (catfish) - Wholesale,KHR,7167.0837669144985,16396860.0,2020,0.596
Cambodia,Fish (snake head) - Retail,KHR,10749.144736842105,16207746.0,2019,0.598
Cambodia,Fish (snake head) - Retail,KHR,9660.068272093024,16396860.0,2020,0.596
Cambodia,Fish (snake head) - Wholesale,KHR,10287.763157894737,16207746.0,2019,0.598
Cambodia,Fish (snake head) - Wholesale,KHR,8714.13252026578,16396860.0,2020,0.596
Cambodia,"Fish (snake head, dry) - Retail",KHR,26264.24521695652,16396860.0,2020,0.596
Cambodia,"Fish (snake head, dry) - Wholesale",KHR,24604.28587,16396860.0,2020,0.596
Cambodia,Fish (striped catfish) - Retail,KHR,7263.451612903225,16207746.0,2019,0.598
Cambodia,Fish (striped catfish) - Retail,KHR,7206.033270300752,16396860.0,2020,0.596
Cambodia,Fish (striped catfish) - Wholesale,KHR,6871.5161290322585,16207746.0,2019,0.598
Cambodia,Fish (striped catfish) - Wholesale,KHR,6425.00482481203,16396860.0,2020,0.596
Cambodia,"Meat (pork, with fat) - Retail",KHR,15133.33333,15210817.0,2014,0.569
Cambodia,"Meat (pork, with fat) - Retail",KHR,14264.529913247863,15417523.0,2015,0.574
Cambodia,"Meat (pork, with fat) - Retail",KHR,13761.65803316062,15624584.0,2016,0.581
Cambodia,"Meat (pork, with fat) - Retail",KHR,11879.464283928572,15830689.0,2017,0.586
Cambodia,"Meat (pork, with fat) - Retail",KHR,13394.42701986755,16025238.0,2018,0.591
Cambodia,"Meat (pork, with fat) - Retail",KHR,15132.156919191919,16207746.0,2019,0.598
Cambodia,"Meat (pork, with fat) - Retail",KHR,20072.3984945679,16396860.0,2020,0.596
Cambodia,"Meat (pork, with fat) - Wholesale",KHR,14101.142857142857,16207746.0,2019,0.598
Cambodia,"Meat (pork, with fat) - Wholesale",KHR,18831.212629490616,16396860.0,2020,0.596
Cambodia,Oil (vegetable) - Retail,KHR,4917.73333,15210817.0,2014,0.569
Cambodia,Oil (vegetable) - Retail,KHR,4660.474363247863,15417523.0,2015,0.574
Cambodia,Oil (vegetable) - Retail,KHR,4528.058584536083,15624584.0,2016,0.581
Cambodia,Oil (vegetable) - Retail,KHR,4556.125753097345,15830689.0,2017,0.586
Cambodia,Oil (vegetable) - Retail,KHR,5949.088117647058,16025238.0,2018,0.591
